codigo_dane,nombre_entidad,anio,poblacion_total,poblacion_rural,poblacion_urbana,nbi,valor_agregado,peso_relativo_va,actividades_primarias,actividades_secundarias,actividades_terciarias,ingresos_tributarios_percapita,icld,gastos_funcionamiento,deuda_publica,categoria,area_km2,cobertura_acueducto,cobertura_alcantarillado,icm,pcc,gpi,eis,cti,seg,sos,codigo_departamento,nombre_departamento,tipo,longitud,latitud
05002,ABEJORRAL,2023,21246.0,12198.0,9048.0,13.96,511370320800.0,0.244069934637945,279455832276.171,24110096866.7815,207804391678.962,104000.0,4004354000.0,2330569000.0,2192000000.0,6,506.95,67.68,41.1,40.16755294799805,25.01828956604004,36.16758346557617,57.30328369140625,38.88085556030273,33.93816375732422,49.6971321105957,05,ANTIOQUIA,Municipio,-75428739,5789315
05002,ABEJORRAL,2024,21468.0,12220.0,9248.0,13.96,,,,,,130000.0,4651463000.0,2875251000.0,1970000000.0,6,506.95,67.68,41.1,40.10430145263672,24.69960021972656,36.68565368652344,60.50436401367188,41.12714004516602,28.6049861907959,49.00407409667969,05,ANTIOQUIA,Municipio,-75428739,5789315
05002,ABEJORRAL,2025,21622.0,12253.0,9369.0,13.96,,,,,,142000.0,5631358000.0,3203470000.0,,6,506.95,67.68,41.1,,,,,,,,05,ANTIOQUIA,Municipio,-75428739,5789315
05004,ABRIAQUÍ,2018,1971.0,1261.0,710.0,28.54,28562662430.0,0.0221569942851466,8464441737.0061,2510983895.4334598,17587236798.5611,84790.0,,542641000.0,1200000000.0,6,293.0,58.32,39.93,42.79297256469727,9.159201622009277,38.78951263427734,50.32498168945312,27.71064949035645,77.58297729492188,53.19051361083984,05,ANTIOQUIA,Municipio,-76064304,6632282
05004,ABRIAQUÍ,2019,1918.0,1223.0,695.0,28.54,31817283410.0,,9040226792.9806,2700561217.27527,20076495401.2097,151000.0,955746000.0,599766000.0,1271000000.0,6,293.0,58.32,39.93,42.38388442993164,9.233489990234375,35.52350234985352,45.82337188720703,28.4449405670166,81.24046325683594,54.03753662109375,05,ANTIOQUIA,Municipio,-76064304,6632282
05004,ABRIAQUÍ,2020,2735.0,1888.0,847.0,11.86,32922290630.0,0.0242246141336884,12618996070.1568,1997923384.45115,18305371172.2267,0.0,933340000.0,673709000.0,1145000000.0,6,293.0,58.32,39.93,42.64258193969727,9.347039222717285,40.50093460083008,41.23456954956055,30.50932121276855,81.27899932861328,52.98463439941406,05,ANTIOQUIA,Municipio,-76064304,6632282
05004,ABRIAQUÍ,2021,2777.0,1867.0,910.0,11.86,38261564360.0,0.0236417162538682,14152283457.108,2470719943.91818,21638560957.9033,0.0,1232053000.0,807604000.0,616000000.0,6,293.0,58.32,39.93,45.72204971313477,9.212888717651367,38.60352325439453,50.15174102783203,29.45565414428711,86.66438293457031,60.24410247802734,05,ANTIOQUIA,Municipio,-76064304,6632282
05004,ABRIAQUÍ,2022,2820.0,1861.0,959.0,11.63,60607335270.0,0.0317737716734093,32087324735.9698,2827513302.84488,25692497229.2799,0.0,996496000.0,643521000.0,480000000.0,6,297.0,63.1,46.47,44.35488128662109,11.51107788085938,39.41186904907227,43.87575531005859,28.62717056274414,96.43589782714844,46.26752090454102,05,ANTIOQUIA,Municipio,-76064304,6632282
05004,ABRIAQUÍ,2023,2864.0,1861.0,1003.0,11.63,54418135090.0,0.02597301824993,22864940929.8683,2624670594.25359,28928523568.5207,105000.0,0.0,0.0,480000000.0,6,296.97,63.1,46.47,48.36311721801758,11.62781429290771,49.39944076538086,47.43478775024414,30.87699127197266,97.76183319091797,53.07783508300781,05,ANTIOQUIA,Municipio,-76064304,6632282
05004,ABRIAQUÍ,2024,2855.0,1856.0,999.0,11.63,,,,,,140000.0,1135066000.0,733684000.0,689000000.0,6,296.97,63.1,46.47,49.64968109130859,11.77962493896484,51.36544799804688,52.14941024780273,33.28949356079102,100.0,49.31410217285156,05,ANTIOQUIA,Municipio,-76064304,6632282
